k, x_0, y_0, size
1, 0, 0, 1
2, 0, 1, 4
3, 0, 2, 7
4, 1, 6, 12
5, 1, 5, 14
6, 3, 12, 20
7, 2, 12, 23
8, 2, 11, 26
9, 2, 10, 28
10, 7, 24, 36
11, 6, 24, 39
12, 5, 26, 44
13, 5, 25, 46
14, 6, 23, 50
15, 5, 23, 52
16, 5, 21, 54
17, 4, 20, 56
18, 15, 48, 68
19, 14, 48, 71
20, 13, 50, 76
21, 13, 49, 78
22, 11, 52, 84
23, 10, 52, 87
24, 10, 51, 90
25, 10, 50, 92
26, 14, 47, 98
27, 13, 47, 100
28, 10, 47, 102
29, 10, 46, 104
30, 11, 43, 106
31, 10, 42, 108
32, 9, 41, 110
33, 8, 40, 112
34, 31, 96, 132
35, 30, 96, 135
36, 29, 98, 140
37, 29, 97, 142
38, 27, 100, 148
39, 26, 100, 151
40, 26, 99, 154
41, 26, 98, 156
42, 23, 104, 164
43, 22, 104, 167
44, 21, 106, 172
45, 21, 105, 174
46, 22, 103, 178
47, 21, 103, 180
48, 21, 101, 182
49, 20, 100, 184
50, 30, 95, 194
51, 29, 95, 196
52, 26, 95, 198
53, 26, 94, 200
54, 22, 95, 202
55, 21, 95, 204
56, 21, 93, 206
57, 20, 92, 208
58, 23, 87, 210
59, 22, 86, 212
60, 21, 85, 214
61, 20, 84, 216
62, 19, 83, 218
63, 18, 82, 220
64, 17, 81, 222
65, 16, 80, 224
66, 63, 192, 260
67, 62, 192, 263
68, 61, 194, 268
69, 61, 193, 270
70, 59, 196, 276
71, 58, 196, 279
72, 58, 195, 282
73, 58, 194, 284
74, 55, 200, 292
75, 54, 200, 295
76, 53, 202, 300
77, 53, 201, 302
78, 54, 199, 306
79, 53, 199, 308
80, 53, 197, 310
81, 52, 196, 312
82, 47, 208, 324
83, 46, 208, 327
84, 45, 210, 332
85, 45, 209, 334
86, 43, 212, 340
87, 42, 212, 343
88, 42, 211, 346
89, 42, 210, 348
90, 46, 207, 354
91, 45, 207, 356
92, 42, 207, 358
93, 42, 206, 360
94, 43, 203, 362
95, 42, 202, 364
96, 41, 201, 366
97, 40, 200, 368
98, 62, 191, 386
99, 61, 191, 388
100, 58, 191, 390
101, 58, 190, 392
102, 54, 191, 394
103, 53, 191, 396
104, 53, 189, 398
105, 52, 188, 400
106, 46, 191, 402
107, 45, 191, 404
108, 42, 191, 406
109, 42, 190, 408
110, 43, 187, 410
111, 42, 186, 412
112, 41, 185, 414
113, 40, 184, 416
114, 47, 175, 418
115, 46, 174, 420
116, 45, 173, 422
117, 44, 172, 424
118, 43, 171, 426
119, 42, 170, 428
120, 41, 169, 430
121, 40, 168, 432
122, 39, 167, 434
123, 38, 166, 436
124, 37, 165, 438
125, 36, 164, 440
126, 35, 163, 442
127, 34, 162, 444
128, 33, 161, 446
129, 32, 160, 448
130, 127, 384, 516
131, 126, 384, 519
132, 125, 386, 524
133, 125, 385, 526
134, 123, 388, 532
135, 122, 388, 535
136, 122, 387, 538
137, 122, 386, 540
138, 119, 392, 548
139, 118, 392, 551
140, 117, 394, 556
141, 117, 393, 558
142, 118, 391, 562
143, 117, 391, 564
144, 117, 389, 566
145, 116, 388, 568
146, 111, 400, 580
147, 110, 400, 583
148, 109, 402, 588
149, 109, 401, 590
150, 107, 404, 596
151, 106, 404, 599
152, 106, 403, 602
153, 106, 402, 604
154, 110, 399, 610
155, 109, 399, 612
156, 106, 399, 614
157, 106, 398, 616
158, 107, 395, 618
159, 106, 394, 620
160, 105, 393, 622
161, 104, 392, 624
162, 95, 416, 644
163, 94, 416, 647
164, 93, 418, 652
165, 93, 417, 654
166, 91, 420, 660
167, 90, 420, 663
168, 90, 419, 666
169, 90, 418, 668
170, 87, 424, 676
171, 86, 424, 679
172, 85, 426, 684
173, 85, 425, 686
174, 86, 423, 690
175, 85, 423, 692
176, 85, 421, 694
177, 84, 420, 696
178, 94, 415, 706
179, 93, 415, 708
180, 90, 415, 710
181, 90, 414, 712
182, 86, 415, 714
183, 85, 415, 716
184, 85, 413, 718
185, 84, 412, 720
186, 87, 407, 722
187, 86, 406, 724
188, 85, 405, 726
189, 84, 404, 728
190, 83, 403, 730
191, 82, 402, 732
192, 81, 401, 734
193, 80, 400, 736
194, 126, 383, 770
195, 125, 383, 772
196, 122, 383, 774
197, 122, 382, 776
198, 118, 383, 778
199, 117, 383, 780
200, 117, 381, 782
201, 116, 380, 784
202, 110, 383, 786
203, 109, 383, 788
204, 106, 383, 790
205, 106, 382, 792
206, 107, 379, 794
207, 106, 378, 796
208, 105, 377, 798
209, 104, 376, 800
210, 94, 383, 802
211, 93, 383, 804
212, 90, 383, 806
213, 90, 382, 808
214, 86, 383, 810
215, 85, 383, 812
216, 85, 381, 814
217, 84, 380, 816
218, 87, 375, 818
219, 86, 374, 820
220, 85, 373, 822
221, 84, 372, 824
222, 83, 371, 826
